SKU,Product,Stock,Unit cost,Lead time,MOQ,Supplier
KER-001,Ceramic Mug Sand,42,7.20,21,20,Studio Töpferei
KER-002,Ceramic Bowl Ocean,8,11.00,21,20,Studio Töpferei
TEX-014,Linen Cushion 45×45,0,14.50,35,25,Manufaktur Nord
SCH-100,Silver Necklace Luna,26,18.00,14,10,Manufaktur Nord
SCH-102,Earrings Nova,61,8.40,14,10,Manufaktur Nord
PRT-220,Art Print A3 Fjord,120,4.10,10,50,PrintLab
PRT-221,Art Print A2 Dune,34,6.30,10,50,PrintLab
KRZ-050,Soy Candle Cedar,15,5.20,18,30,Manufaktur Nord
KRZ-051,Candle Set of 3,22,13.80,18,15,Manufaktur Nord
PAP-300,Recycled Notebook,88,4.60,12,40,Manufaktur Nord
TEX-020,Wool Blanket Nordic,11,34.00,42,10,Manufaktur Nord
SEI-010,Natural Soap Lavender,4,2.40,15,60,Manufaktur Nord
