Date,SKU,Product,Quantity,Revenue,Unit cost,Fees,Shipping,Channel,Order ID
2026-02-10,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.53,5.62,eBay,ORD-10001
2026-02-10,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,5.51,Etsy,ORD-10002
2026-02-10,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,4.85,Etsy,ORD-10003
2026-02-11,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,1.09,5.61,Shopify,ORD-10004
2026-02-11,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.53,5.50,eBay,ORD-10005
2026-02-11,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,4.71,Etsy,ORD-10006
2026-02-12,TEX-020,Wool Blanket Nordic,1,89.00,34.00,9.34,4.24,Etsy,ORD-10007
2026-02-12,KER-001,Ceramic Mug Sand,2,49.80,7.20,5.23,4.40,Etsy,ORD-10008
2026-02-12,KER-001,Ceramic Mug Sand,1,24.90,7.20,0.80,5.08,Shopify,ORD-10009
2026-02-13,KER-001,Ceramic Mug Sand,1,24.90,7.20,0.80,5.04,Shopify,ORD-10010
2026-02-14,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,4.48,Etsy,ORD-10011
2026-02-15,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,5.42,Shopify,ORD-10012
2026-02-15,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,0.00,Shopify,ORD-10012
2026-02-16,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.16,Etsy,ORD-10013
2026-02-16,PAP-300,Recycled Notebook,1,16.00,4.60,1.84,5.42,eBay,ORD-10014
2026-02-16,KRZ-051,Candle Set of 3,1,45.00,13.80,5.17,0.00,eBay,ORD-10014
2026-02-16,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.87,Etsy,ORD-10015
2026-02-17,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,5.19,Etsy,ORD-10016
2026-02-17,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.71,Etsy,ORD-10017
2026-02-17,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,3.66,Etsy,ORD-10018
2026-02-17,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,0.00,Etsy,ORD-10018
2026-02-17,SCH-102,Earrings Nova,1,29.00,8.40,0.93,4.91,Shopify,ORD-10019
2026-02-18,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,5.29,Etsy,ORD-10020
2026-02-18,SCH-102,Earrings Nova,1,29.00,8.40,3.33,3.75,eBay,ORD-10021
