Datum;Artikelnummer;Artikel;Menge;Umsatz;Einkaufspreis;Gebühren;Versandkosten;Kanal;Bestellnummer
10.02.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,53;5,62;eBay;ORD-10001
10.02.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;5,51;Etsy;ORD-10002
10.02.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;4,85;Etsy;ORD-10003
11.02.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;1,09;5,61;Shopify;ORD-10004
11.02.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,53;5,50;eBay;ORD-10005
11.02.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;4,71;Etsy;ORD-10006
12.02.2026;TEX-020;Wolldecke Nordic;1;89,00;34,00;9,34;4,24;Etsy;ORD-10007
12.02.2026;KER-001;Keramiktasse Sand;2;49,80;7,20;5,23;4,40;Etsy;ORD-10008
12.02.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;0,80;5,08;Shopify;ORD-10009
13.02.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;0,80;5,04;Shopify;ORD-10010
14.02.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;4,48;Etsy;ORD-10011
15.02.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;5,42;Shopify;ORD-10012
15.02.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;0,00;Shopify;ORD-10012
16.02.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,16;Etsy;ORD-10013
16.02.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,84;5,42;eBay;ORD-10014
16.02.2026;KRZ-051;Kerzen-Set 3er;1;45,00;13,80;5,17;0,00;eBay;ORD-10014
16.02.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,87;Etsy;ORD-10015
17.02.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;5,19;Etsy;ORD-10016
17.02.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,71;Etsy;ORD-10017
17.02.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;3,66;Etsy;ORD-10018
17.02.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;0,00;Etsy;ORD-10018
17.02.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;0,93;4,91;Shopify;ORD-10019
18.02.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;5,29;Etsy;ORD-10020
18.02.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;3,33;3,75;eBay;ORD-10021
18.02.2026;SCH-102;Ohrringe Nova;2;58,00;8,40;6,09;4,77;Etsy;ORD-10022
19.02.2026;SCH-100;Silberkette Luna;1;59,00;18,00;6,19;3,89;Etsy;ORD-10023
20.02.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;4,42;Etsy;ORD-10024
20.02.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;5,56;Shopify;ORD-10025
21.02.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;4,65;Etsy;ORD-10026
21.02.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;0,70;5,72;Shopify;ORD-10027
21.02.2026;SEI-010;Naturseife Lavendel;2;19,00;2,40;0,61;5,37;Shopify;ORD-10028
22.02.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;5,39;Shopify;ORD-10029
22.02.2026;TEX-020;Wolldecke Nordic;1;89,00;34,00;9,34;3,87;Etsy;ORD-10030
23.02.2026;KRZ-051;Kerzen-Set 3er;1;45,00;13,80;1,44;5,19;Shopify;ORD-10031
23.02.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;3,04;5,02;Etsy;ORD-10032
23.02.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;0,00;Etsy;ORD-10032
23.02.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;3,04;4,44;Etsy;ORD-10033
23.02.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;0,00;Etsy;ORD-10033
24.02.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;3,04;5,78;Etsy;ORD-10034
24.02.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;5,04;Etsy;ORD-10035
24.02.2026;SCH-100;Silberkette Luna;1;59,00;18,00;6,19;0,00;Etsy;ORD-10035
24.02.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;4,08;Etsy;ORD-10036
24.02.2026;SEI-010;Naturseife Lavendel;2;19,00;2,40;1,99;4,45;Etsy;ORD-10037
25.02.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;0,51;4,77;Shopify;ORD-10038
25.02.2026;KER-001;Keramiktasse Sand;2;49,80;7,20;1,59;0,00;Shopify;ORD-10038
25.02.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;0,51;4,91;Shopify;ORD-10039
25.02.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;5,03;Etsy;ORD-10040
26.02.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,09;4,79;eBay;ORD-10041
26.02.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;1,02;4,36;Shopify;ORD-10042
26.02.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;0,93;0,00;Shopify;ORD-10042
26.02.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;0,80;4,97;Shopify;ORD-10043
27.02.2026;SCH-100;Silberkette Luna;1;59,00;18,00;6,19;5,24;Etsy;ORD-10044
27.02.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;4,43;Etsy;ORD-10045
28.02.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;0,51;5,40;Shopify;ORD-10046
01.03.2026;SCH-100;Silberkette Luna;1;59,00;18,00;6,19;4,79;Etsy;ORD-10047
01.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;4,79;Etsy;ORD-10048
01.03.2026;KRZ-050;Sojakerze Zeder;2;37,00;5,20;3,88;0,00;Etsy;ORD-10048
02.03.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,84;4,97;eBay;ORD-10049
02.03.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;0,93;5,74;Shopify;ORD-10050
03.03.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;4,24;Etsy;ORD-10051
03.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;4,05;Etsy;ORD-10052
03.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;1,25;5,48;Shopify;ORD-10053
03.03.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;0,93;0,00;Shopify;ORD-10053
03.03.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;0,51;4,90;Shopify;ORD-10054
04.03.2026;KRZ-050;Sojakerze Zeder;2;37,00;5,20;1,18;4,81;Shopify;ORD-10055
04.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;0,80;0,00;Shopify;ORD-10055
04.03.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;4,04;Shopify;ORD-10056
04.03.2026;KRZ-050;Sojakerze Zeder;2;37,00;5,20;3,88;3,77;Etsy;ORD-10057
05.03.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;3,33;4,56;eBay;ORD-10058
05.03.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;4,85;Shopify;ORD-10059
06.03.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;4,82;Etsy;ORD-10060
06.03.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;4,34;Etsy;ORD-10061
06.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;3,77;Etsy;ORD-10062
06.03.2026;KRZ-051;Kerzen-Set 3er;2;90,00;13,80;9,45;0,00;Etsy;ORD-10062
07.03.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;4,11;Etsy;ORD-10063
07.03.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;4,93;Etsy;ORD-10064
07.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;0,00;Etsy;ORD-10064
07.03.2026;PRT-220;Kunstdruck A3 Fjord;2;44,00;4,10;1,41;4,25;Shopify;ORD-10065
08.03.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;3,33;5,77;eBay;ORD-10066
08.03.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;5,30;Etsy;ORD-10067
09.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;5,28;Etsy;ORD-10068
09.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;0,00;Etsy;ORD-10068
09.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;3,93;Etsy;ORD-10069
09.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;4,00;Etsy;ORD-10070
10.03.2026;SCH-102;Ohrringe Nova;2;58,00;8,40;6,09;5,29;Etsy;ORD-10071
10.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;3,68;Etsy;ORD-10072
10.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;4,42;Etsy;ORD-10073
11.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;4,73;Etsy;ORD-10074
11.03.2026;PRT-220;Kunstdruck A3 Fjord;2;44,00;4,10;1,41;5,41;Shopify;ORD-10075
11.03.2026;TEX-020;Wolldecke Nordic;2;178,00;34,00;5,70;0,00;Shopify;ORD-10075
11.03.2026;KRZ-050;Sojakerze Zeder;2;37,00;5,20;4,25;4,08;eBay;ORD-10076
11.03.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;4,15;Shopify;ORD-10077
12.03.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;5,68;Etsy;ORD-10078
12.03.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;0,00;Etsy;ORD-10078
12.03.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;3,57;4,30;Etsy;ORD-10079
12.03.2026;PRT-221;Kunstdruck A2 Düne;2;64,00;6,30;6,72;0,00;Etsy;ORD-10079
12.03.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;3,57;5,63;Etsy;ORD-10080
13.03.2026;KRZ-051;Kerzen-Set 3er;1;45,00;13,80;5,17;3,63;eBay;ORD-10081
13.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;5,52;Etsy;ORD-10082
13.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;0,00;Etsy;ORD-10082
13.03.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;0,93;4,05;Shopify;ORD-10083
14.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,53;4,64;eBay;ORD-10084
14.03.2026;PRT-220;Kunstdruck A3 Fjord;2;44,00;4,10;1,41;5,26;Shopify;ORD-10085
14.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;0,80;3,74;Shopify;ORD-10086
14.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;0,80;0,00;Shopify;ORD-10086
15.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,53;5,08;eBay;ORD-10087
15.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;4,71;Etsy;ORD-10088
15.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;0,00;Etsy;ORD-10088
16.03.2026;PRT-220;Kunstdruck A3 Fjord;2;44,00;4,10;5,06;4,02;eBay;ORD-10089
16.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;1,25;5,48;Shopify;ORD-10090
16.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;4,23;Etsy;ORD-10091
17.03.2026;SCH-100;Silberkette Luna;1;59,00;18,00;6,19;4,35;Etsy;ORD-10092
17.03.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;4,23;Etsy;ORD-10093
17.03.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;0,00;Etsy;ORD-10093
17.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;4,27;Shopify;ORD-10094
17.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;0,70;4,35;Shopify;ORD-10095
17.03.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;1,09;0,00;Shopify;ORD-10095
18.03.2026;TEX-020;Wolldecke Nordic;1;89,00;34,00;9,34;4,75;Etsy;ORD-10096
18.03.2026;KER-002;Keramikschale Ocean;2;68,00;11,00;7,14;5,44;Etsy;ORD-10097
18.03.2026;TEX-014;Leinenkissen 45×45;2;78,00;14,50;8,19;0,00;Etsy;ORD-10097
18.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;0,80;5,38;Shopify;ORD-10098
19.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;5,18;Etsy;ORD-10099
19.03.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;3,75;Shopify;ORD-10100
19.03.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;0,93;4,95;Shopify;ORD-10101
20.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;4,90;Etsy;ORD-10102
20.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,86;5,69;eBay;ORD-10103
20.03.2026;TEX-014;Leinenkissen 45×45;2;78,00;14,50;8,97;0,00;eBay;ORD-10103
20.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;4,33;Etsy;ORD-10104
20.03.2026;PRT-220;Kunstdruck A3 Fjord;2;44,00;4,10;1,41;4,58;Shopify;ORD-10105
21.03.2026;PRT-220;Kunstdruck A3 Fjord;2;44,00;4,10;4,62;5,16;Etsy;ORD-10106
21.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;3,63;Etsy;ORD-10107
21.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;3,85;Etsy;ORD-10108
22.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,39;Etsy;ORD-10109
22.03.2026;SCH-102;Ohrringe Nova;2;58,00;8,40;6,09;4,20;Etsy;ORD-10110
22.03.2026;KER-002;Keramikschale Ocean;2;68,00;11,00;7,14;5,73;Etsy;ORD-10111
23.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,45;Etsy;ORD-10112
23.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;3,72;Etsy;ORD-10113
24.03.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;5,24;Etsy;ORD-10114
24.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;4,08;Shopify;ORD-10115
24.03.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;3,57;4,10;Etsy;ORD-10116
24.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;5,10;Etsy;ORD-10117
24.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;0,00;Etsy;ORD-10117
25.03.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;5,45;Shopify;ORD-10118
25.03.2026;SEI-010;Naturseife Lavendel;2;19,00;2,40;0,61;5,67;Shopify;ORD-10119
25.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;4,90;Etsy;ORD-10120
25.03.2026;SEI-010;Naturseife Lavendel;2;19,00;2,40;1,99;0,00;Etsy;ORD-10120
26.03.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;5,45;Etsy;ORD-10121
26.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;5,42;Etsy;ORD-10122
26.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;3,83;Shopify;ORD-10123
27.03.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;5,26;Etsy;ORD-10124
27.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,26;Etsy;ORD-10125
27.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;0,00;Etsy;ORD-10125
27.03.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;3,57;5,56;Etsy;ORD-10126
28.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;3,62;Shopify;ORD-10127
28.03.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;4,98;Etsy;ORD-10128
28.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;5,70;Etsy;ORD-10129
29.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,05;Etsy;ORD-10130
30.03.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;5,07;Etsy;ORD-10131
30.03.2026;SEI-010;Naturseife Lavendel;2;19,00;2,40;1,99;3,60;Etsy;ORD-10132
30.03.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;0,00;Etsy;ORD-10132
30.03.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,84;5,22;eBay;ORD-10133
30.03.2026;KER-002;Keramikschale Ocean;2;68,00;11,00;7,82;0,00;eBay;ORD-10133
30.03.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;3,79;Etsy;ORD-10134
31.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;4,83;Shopify;ORD-10135
31.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;4,39;Shopify;ORD-10136
31.03.2026;KRZ-050;Sojakerze Zeder;2;37,00;5,20;1,18;0,00;Shopify;ORD-10136
31.03.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;3,88;Etsy;ORD-10137
01.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;2,13;4,80;eBay;ORD-10138
01.04.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;5,63;Etsy;ORD-10139
01.04.2026;TEX-020;Wolldecke Nordic;1;89,00;34,00;9,34;5,41;Etsy;ORD-10140
01.04.2026;TEX-020;Wolldecke Nordic;1;89,00;34,00;9,34;5,02;Etsy;ORD-10141
02.04.2026;KRZ-050;Sojakerze Zeder;2;37,00;5,20;1,18;4,80;Shopify;ORD-10142
02.04.2026;KRZ-051;Kerzen-Set 3er;1;45,00;13,80;4,72;5,01;Etsy;ORD-10143
02.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,09;4,82;eBay;ORD-10144
02.04.2026;KER-001;Keramiktasse Sand;2;49,80;7,20;5,23;4,49;Etsy;ORD-10145
03.04.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;1,25;5,13;Shopify;ORD-10146
03.04.2026;KRZ-051;Kerzen-Set 3er;2;90,00;13,80;2,88;0,00;Shopify;ORD-10146
03.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;5,29;Shopify;ORD-10147
03.04.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;5,64;Etsy;ORD-10148
03.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;4,22;Shopify;ORD-10149
04.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;3,81;Etsy;ORD-10150
04.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;0,00;Etsy;ORD-10150
04.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,09;5,37;eBay;ORD-10151
04.04.2026;SCH-100;Silberkette Luna;2;118,00;18,00;12,39;4,10;Etsy;ORD-10152
05.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;3,64;Etsy;ORD-10153
05.04.2026;KRZ-051;Kerzen-Set 3er;1;45,00;13,80;5,17;4,89;eBay;ORD-10154
05.04.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,49;4,69;eBay;ORD-10155
06.04.2026;SCH-100;Silberkette Luna;1;59,00;18,00;6,19;5,48;Etsy;ORD-10156
06.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;5,34;Etsy;ORD-10157
06.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;0,70;3,71;Shopify;ORD-10158
07.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;5,13;Etsy;ORD-10159
07.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;2,13;3,70;eBay;ORD-10160
