Artikelnummer;Artikel;Bestand;Einkaufspreis;Lieferzeit;Mindestbestellmenge;Lieferant
KER-001;Keramiktasse Sand;42;7,20;21;20;Studio Töpferei
KER-002;Keramikschale Ocean;8;11,00;21;20;Studio Töpferei
TEX-014;Leinenkissen 45×45;0;14,50;35;25;Manufaktur Nord
SCH-100;Silberkette Luna;26;18,00;14;10;Manufaktur Nord
SCH-102;Ohrringe Nova;61;8,40;14;10;Manufaktur Nord
PRT-220;Kunstdruck A3 Fjord;120;4,10;10;50;PrintLab
PRT-221;Kunstdruck A2 Düne;34;6,30;10;50;PrintLab
KRZ-050;Sojakerze Zeder;15;5,20;18;30;Manufaktur Nord
KRZ-051;Kerzen-Set 3er;22;13,80;18;15;Manufaktur Nord
PAP-300;Notizbuch Recycling;88;4,60;12;40;Manufaktur Nord
TEX-020;Wolldecke Nordic;11;34,00;42;10;Manufaktur Nord
SEI-010;Naturseife Lavendel;4;2,40;15;60;Manufaktur Nord
